gs_name,gs_collection,gs_subcollection,gene_symbol,ensembl_gene
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMA2,ENSG00000106588
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMA3,ENSG00000100567
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMA4,ENSG00000041357
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMA5,ENSG00000143106
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMA6,ENSG00000100902
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMA7,ENSG00000101182
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMB1,ENSG00000008018
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMB2,ENSG00000126067
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMB3,ENSG00000275903
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMB3,ENSG00000277791
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMB4,ENSG00000159377
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMB5,ENSG00000100804
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMB6,ENSG00000142507
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMB7,ENSG00000136930
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMC1,ENSG00000100764
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMC2,ENSG00000161057
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMC3,ENSG00000165916
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMC4,ENSG00000013275
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMC4,ENSG00000281221
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,PSMC5,ENSG00000087191
